,source,text,positive_words,negative_words,negative_adverbs,punctuation_sum,punctuation_exclamation,negation,positive_rating,class
67,yelp,Update.....went back for a second time and it was still just as amazing,1,0,0,5,0,0,0,1

68,yelp,We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,1,0,1,0,1,0,0

69,yelp,A great way to finish a great.,2,0,0,1,0,0,0,1

70,yelp,'The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.',0,0,0,2,0,0,0,1

71,yelp,'- Really, really good rice, all the time.',1,0,0,3,0,0,0,1

72,yelp,The service was meh.,0,1,0,1,0,0,0,0

73,yelp,'It took over 30 min to get their milkshake, which was nothing more than chocolate milk.',0,0,0,2,0,1,0,0

74,yelp,'I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn"t use my common sense.',0,1,0,3,0,1,0,0

75,yelp,The scallop dish is quite appalling for value as well.,1,1,0,1,0,0,0,0

76,yelp,2 times - Very Bad Customer Service !,0,1,0,1,1,0,0,0

77,yelp,The sweet potato fries were very good and seasoned well.,4,0,0,1,0,0,0,1

78,yelp,Today is the second time I"ve been to their lunch buffet and it was pretty good.,2,0,0,1,0,0,0,1

79,yelp,There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,1,2,0,1,0,0,0,0

80,yelp,Coming here is like experiencing an underwhelming relationship where both parties can"t wait for the other person to ask to break up.,1,1,0,1,0,1,0,0

81,yelp,walked in and the place smelled like an old grease trap and only 2 others there eating.,1,2,0,1,0,0,0,0

82,yelp,The turkey and roast beef were bland.,0,1,0,1,0,0,0,0

83,yelp,This place has it!,0,0,0,1,1,0,0,1

84,yelp,The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,1,3,0,1,0,0,0,0

85,yelp,I love the Pho and the spring rolls oh so yummy you have to try.,1,0,0,1,0,0,0,1

86,yelp,The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,1,0,1,0,0,0,0

87,yelp,All I have to say is the food was amazing!!!,1,0,0,3,3,0,0,1

88,yelp,Omelets are to die for!,0,1,0,1,1,0,0,1

89,yelp,Everything was fresh and delicious!,2,0,0,1,1,0,0,1

90,yelp,'In summary, this was a largely disappointing dining experience.',0,1,0,2,0,0,0,0

91,yelp,'It"s like a really sexy party in your mouth, where you"re outrageously flirting with the hottest person at the party.',3,1,0,2,0,0,0,1

92,yelp,'Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!',0,1,0,2,1,2,0,0

93,yelp,Best breakfast buffet!!!,1,0,0,3,3,0,0,1

94,yelp,say bye bye to your tip lady!,0,0,0,1,1,0,0,0

95,yelp,We"ll never go again.,0,0,0,1,0,1,0,0

96,yelp,Will be back again!,0,0,0,1,1,0,0,1

97,yelp,Food arrived quickly!,0,0,0,1,1,0,0,1

98,yelp,It was not good.,1,0,0,1,0,1,0,0

99,yelp,'On the up side, their cafe serves really good food.',1,0,0,2,0,0,0,1

100,yelp,'Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!',2,0,0,2,1,0,0,1

101,yelp,'The only good thing was our waiter, he was very helpful and kept the bloddy mary"s coming.',2,0,0,2,0,0,0,1

102,yelp,'Best Buffet in town, for the price you cannot beat it.',1,0,0,2,0,0,0,1

103,yelp,'I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.',3,0,0,3,0,0,0,1

104,yelp,This is one of the better buffets that I have been to.,1,0,0,1,0,0,0,1

105,yelp,So we went to Tigerlilly and had a fantastic afternoon!,1,0,0,1,1,0,0,1

106,yelp,'The food was delicious, our bartender was attentive and personable AND we got a great deal!',3,0,0,2,1,0,0,1

107,yelp,The ambience is wonderful and there is music playing.,1,0,0,1,0,0,0,1

108,yelp,Will go back next trip out.,0,0,0,1,0,0,0,1

109,yelp,Sooooo good!!,1,0,0,2,2,0,0,1

110,yelp,'REAL sushi lovers, let"s be honest - Yama is not that good.',2,0,0,2,0,1,0,0

111,yelp,'At least 40min passed in between us ordering and the food arriving, and it wasn"t that busy.',0,0,0,2,0,1,0,0

112,yelp,This is a really fantastic Thai restaurant which is definitely worth a visit.,2,0,0,1,0,0,0,1

113,yelp,'Nice, spicy and tender.',2,0,0,2,0,0,0,1

114,yelp,Good prices.,1,0,0,1,0,0,0,1

115,yelp,Check it out.,0,0,0,1,0,0,0,1

116,yelp,It was pretty gross!,1,1,0,1,1,0,0,0

117,yelp,I"ve had better atmosphere.,1,0,0,1,0,0,0,0

118,yelp,Kind of hard to mess up a steak but they did.,0,2,0,1,0,0,0,0

119,yelp,'Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.',1,1,0,2,0,0,0,0

120,yelp,I just don"t know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,0,0,1,0,1,0,0

121,yelp,'Worst service to boot, but that is the least of their worries.',0,2,0,2,0,0,0,0

122,yelp,Service was fine and the waitress was friendly.,2,0,0,1,0,0,0,1

123,yelp,'The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he"s ever eaten.',3,1,0,2,0,0,0,1

124,yelp,'We thought you"d have to venture further away to get good sushi, but this place really hit the spot that night.',1,0,0,2,0,0,0,1

125,yelp,'Host staff were, for lack of a better word, BITCHES!',1,1,0,3,1,0,0,0

126,yelp,Bland... Not a liking this place for a number of reasons and I don"t want to waste time on bad reviewing.. I"ll leave it at that...,1,3,0,8,0,2,0,0

127,yelp,'Phenomenal food, service and ambiance.',1,0,0,2,0,0,0,1

128,yelp,I wouldn"t return.,0,0,0,1,0,0,0,0

129,yelp,'Definitely worth venturing off the strip for the pork belly, will return next time I"m in Vegas.',1,0,0,2,0,0,0,1

130,yelp,This place is way too overpriced for mediocre food.,0,2,0,1,0,0,0,0

131,yelp,Penne vodka excellent!,1,0,0,1,1,0,0,1

132,yelp,'They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.',2,0,0,3,0,0,0,1

133,yelp,The management is rude.,0,1,0,1,0,0,0,0

134,yelp,'Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.',2,0,0,3,0,0,0,1

135,yelp,'Great Subway, in fact it"s so good when you come here every other Subway will not meet your expectations.',2,0,0,2,0,1,0,1

136,yelp,I had a seriously solid breakfast here.,1,0,0,1,0,0,0,1

137,yelp,This is one of the best bars with food in Vegas.,1,0,0,1,0,0,0,1

138,yelp,'He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.',1,1,0,2,0,0,0,0

139,yelp,My drink was never empty and he made some really great menu suggestions.,1,0,0,1,0,1,0,1

140,yelp,Don"t do it!!!!,0,0,0,4,4,1,0,0

141,yelp,The waiter wasn"t helpful or friendly and rarely checked on us.,2,0,0,1,0,1,0,0

142,yelp,My husband and I ate lunch here and were very disappointed with the food and service.,0,1,0,1,0,0,0,0

143,yelp,And the red curry had so much bamboo shoots and wasn"t very tasty to me.,1,0,0,1,0,1,0,0

144,yelp,Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,3,0,0,1,0,0,0,1

145,yelp,The bathrooms are clean and the place itself is well decorated.,2,0,0,1,0,0,0,1

146,yelp,'The menu is always changing, food quality is going down & service is extremely slow.',0,1,0,2,0,0,0,0

147,yelp,'The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.',0,2,1,2,0,0,0,0

148,yelp,I give it 2 thumbs down,0,0,0,0,0,0,0,0

149,yelp,We watched our waiter pay a lot more attention to other tables and ignore us.,0,1,0,1,0,0,0,0

150,yelp,My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,0,0,1,0,0,0,1

151,yelp,This is a great restaurant at the Mandalay Bay.,1,0,0,1,0,0,0,1

152,yelp,We waited for forty five minutes in vain.,0,1,0,1,0,0,0,0

153,yelp,Crostini that came with the salad was stale.,0,1,0,1,0,0,0,0

154,yelp,Some highlights : Great quality nigiri here!,1,0,0,1,1,0,0,1

155,yelp,the staff is friendly and the joint is always clean.,2,0,0,1,0,0,0,1

156,yelp,this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,4,0,0,1,0,0,0,1

157,yelp,I ordered the Voodoo pasta and it was the first time I"d had really excellent pasta since going gluten free several years ago.,2,0,0,1,0,0,0,1

158,yelp,this place is good.,1,0,0,1,0,0,0,1

159,yelp,'Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.',0,2,0,2,0,0,0,0

160,yelp,I came back today since they relocated and still not impressed.,1,0,0,1,0,1,0,0

161,yelp,I was seated immediately.,0,0,0,1,0,0,0,1

162,yelp,'Their menu is diverse, and reasonably priced.',1,0,0,2,0,0,0,1

163,yelp,Avoid at all cost!,0,1,0,1,1,0,0,0

164,yelp,Restaurant is always full but never a wait.,0,0,0,1,0,1,0,1

165,yelp,DELICIOUS!!,1,0,0,2,2,0,0,1

166,yelp,This place is hands-down one of the best places to eat in the Phoenix metro area.,2,0,0,1,0,0,0,1

167,yelp,So don"t go there if you are looking for good food...,1,0,0,3,0,1,0,0

168,yelp,I"ve never been treated so bad.,0,1,0,1,0,1,0,0

169,yelp,Bacon is hella salty.,0,1,0,1,0,0,0,1

170,yelp,We also ordered the spinach and avocado salad; the ingredients were sad and the dressing literally had zero taste.,0,1,0,1,0,0,0,0

171,yelp,'This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.',2,0,0,2,0,1,0,1

172,yelp,The waitresses are very friendly.,1,0,0,1,0,0,0,1

173,yelp,'Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!',0,1,0,2,1,1,0,1

174,yelp,Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,3,0,0,1,0,0,0,1

175,yelp,'Perhaps I caught them on an off night judging by the other reviews, but I"m not inspired to go back.',0,0,0,2,0,1,0,0

176,yelp,The service here leaves a lot to be desired.,0,0,0,1,0,0,0,0

177,yelp,'The atmosphere is modern and hip, while maintaining a touch of coziness.',1,0,0,2,0,0,0,1

178,yelp,'Not a weekly haunt, but definitely a place to come back to every once in a while.',0,1,0,2,0,1,0,1

179,yelp,We literally sat there for 20 minutes with no one asking to take our order.,0,0,0,1,0,1,0,0

180,yelp,'The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.',0,1,0,2,0,2,0,0

181,yelp,I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,1,1,0,1,0,1,0,0

182,yelp,I dressed up to be treated so rudely!,0,0,0,1,1,0,0,0

183,yelp,It was probably dirt.,0,1,0,1,0,0,0,0

184,yelp,'Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.',2,1,0,2,0,1,0,1

185,yelp,I ordered the Lemon raspberry ice cocktail which was also incredible.,1,1,0,1,0,0,0,1

186,yelp,'The food sucked, which we expected but it sucked more than we could have imagined.',0,2,0,2,0,0,0,0

187,yelp,Interesting decor.,1,0,0,1,0,0,0,1

188,yelp,What I really like there is the crepe station.,1,0,0,1,0,0,0,1

189,yelp,'Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.',2,0,0,6,0,0,0,1

190,yelp,you can watch them preparing the delicious food!),1,0,0,1,1,0,0,1

191,yelp,Both of the egg rolls were fantastic.,1,0,0,1,0,0,0,1

192,yelp,'When my order arrived, one of the gyros was missing.',0,0,0,2,0,0,0,0

193,yelp,'I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.',1,0,0,2,0,0,0,1

194,yelp,I"m not really sure how Joey"s was voted best hot dog in the Valley by readers of Phoenix Magazine.,2,0,0,1,0,1,0,0

195,yelp,The best place to go for a tasty bowl of Pho!,2,0,0,1,1,0,0,1

196,yelp,The live music on Fridays totally blows.,0,0,0,1,0,0,0,0

197,yelp,I"ve never been more insulted or felt disrespected.,0,1,0,1,0,1,0,0

198,yelp,Very friendly staff.,1,0,0,1,0,0,0,1

199,yelp,It is worth the drive.,1,0,0,1,0,0,0,1

200,yelp,'I had heard good things about this place, but it exceeding every hope I could have dreamed of.',2,0,0,2,0,0,0,1

201,yelp,Food was great and so was the serivce!,1,0,0,1,1,0,0,1

202,yelp,The warm beer didn"t help.,1,0,0,1,0,1,0,0

203,yelp,Great brunch spot.,1,0,0,1,0,0,0,1

204,yelp,Service is friendly and inviting.,1,0,0,1,0,0,0,1

205,yelp,Very good lunch spot.,1,0,0,1,0,0,0,1

206,yelp,I"ve lived here since 1979 and this was the first (and last) time I"ve stepped foot into this place.,0,0,0,1,0,0,0,0

207,yelp,The WORST EXPERIENCE EVER.,0,1,0,1,0,0,0,0

208,yelp,Must have been an off night at this place.,0,0,0,1,0,0,0,0

209,yelp,'The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.',1,0,0,3,0,0,0,1

210,yelp,'If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.',0,2,0,2,0,1,0,0

211,yelp,'For about 10 minutes, we we"re waiting for her salad when we realized that it wasn"t coming any time soon.',0,0,0,2,0,1,0,0

212,yelp,My friend loved the salmon tartar.,1,0,0,1,0,0,0,1

213,yelp,Won"t go back.,0,0,0,1,0,1,0,0

214,yelp,Extremely Tasty!,1,0,0,1,1,0,0,1

215,yelp,Waitress was good though!,1,0,0,1,1,0,0,1

216,yelp,Soggy and not good.,1,0,0,1,0,1,0,0

217,yelp,The Jamaican mojitos are delicious.,1,0,0,1,0,0,0,1

218,yelp,Which are small and not worth the price.,1,0,0,1,0,1,0,0

219,yelp,- the food is rich so order accordingly.,1,0,0,1,0,0,0,1

220,yelp,'The shower area is outside so you can only rinse, not take a full shower, unless you don"t mind being nude for everyone to see!',0,0,0,3,1,2,0,0

221,yelp,The service was a bit lacking.,0,1,0,1,0,0,0,0

222,yelp,'Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.',0,0,0,6,0,0,0,0

223,yelp,Hopefully this bodes for them going out of business and someone who can cook can come in.,0,0,0,1,0,0,0,0

224,yelp,'It was either too cold, not enough flavor or just bad.',1,2,0,2,0,1,0,0

225,yelp,I loved the bacon wrapped dates.,1,0,0,1,0,0,0,1

226,yelp,This is an unbelievable BARGAIN!,1,1,0,1,1,0,0,1

227,yelp,The folks at Otto always make us feel so welcome and special.,1,0,0,1,0,0,0,1

228,yelp,'As for the "mains," also uninspired.',0,0,0,2,0,0,0,0

229,yelp,This is the place where I first had pho and it was amazing!!,1,0,0,2,2,0,0,1

230,yelp,This wonderful experience made this place a must-stop whenever we are in town again.,1,0,0,1,0,0,0,1

231,yelp,'If the food isn"t bad enough for you, then enjoy dealing with the world"s worst/annoying drunk people.',2,2,0,2,0,1,0,0

232,yelp,Very very fun chef.,1,0,0,1,0,0,0,1

233,yelp,'Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.',0,2,0,2,0,0,0,0

234,yelp,Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV"s.,1,0,0,1,0,0,0,1

235,yelp,'If it were possible to give them zero stars, they"d have it.',0,0,0,2,0,0,0,0

236,yelp,'The descriptions said "yum yum sauce" and another said "eel sauce", yet another said "spicy mayo"...well NONE of the rolls had sauces on them.',0,0,0,5,0,0,0,0

237,yelp,'I"d say that would be the hardest decision... Honestly, all of M"s dishes taste how they are supposed to taste (amazing).',0,0,0,5,0,0,0,1

238,yelp,If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.,0,0,0,4,0,2,0,0

239,yelp,'Everyone is very attentive, providing excellent customer service.',2,0,0,2,0,0,0,1

240,yelp,Horrible - don"t waste your time and money.,0,2,0,1,0,1,0,0

241,yelp,Now this dish was quite flavourful.,0,0,0,1,0,0,0,1

242,yelp,By this time our side of the restaurant was almost empty so there was no excuse.,0,1,0,1,0,1,0,0

243,yelp,'(It wasn"t busy either) Also, the building was FREEZING cold.',0,2,0,2,0,1,0,0

244,yelp,like the other reviewer said "you couldn"t pay me to eat at this place again.",1,0,0,1,0,0,0,0

245,yelp,-Drinks took close to 30 minutes to come out at one point.,0,0,0,1,0,0,0,0

246,yelp,'Seriously flavorful delights, folks.',0,0,0,2,0,0,0,1

247,yelp,Much better than the other AYCE sushi place I went to in Vegas.,1,0,0,1,0,0,0,1

248,yelp,The lighting is just dark enough to set the mood.,1,1,0,1,0,0,0,1

249,yelp,Based on the sub-par service I received and no effort to show their gratitude for my business I won"t be going back.,1,1,0,1,0,2,0,0

250,yelp,Owner"s are really great people.!,1,0,0,2,1,0,0,1

251,yelp,There is nothing privileged about working/eating there.,1,0,0,1,0,1,0,0

252,yelp,The Greek dressing was very creamy and flavorful.,0,0,0,1,0,0,0,1

253,yelp,'Overall, I don"t think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.',0,1,0,2,0,1,0,0

254,yelp,Now the pizza itself was good the peanut sauce was very tasty.,2,0,0,1,0,0,0,1

255,yelp,We had 7 at our table and the service was pretty fast.,2,0,0,1,0,0,0,1

256,yelp,Fantastic service here.,1,0,0,1,0,0,0,1

257,yelp,I as well would"ve given godfathers zero stars if possible.,1,0,0,1,0,0,0,0

258,yelp,They know how to make them here.,0,0,0,1,0,0,0,1

259,yelp,very tough and very short on flavor!,1,0,0,1,1,0,0,0

260,yelp,I hope this place sticks around.,0,0,0,1,0,0,0,1

261,yelp,'I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.',0,0,0,2,0,1,0,0

262,yelp,The restaurant atmosphere was exquisite.,1,0,0,1,0,0,0,1

263,yelp,'Good service, very clean, and inexpensive, to boot!',3,0,0,4,1,0,0,1

264,yelp,The seafood was fresh and generous in portion.,2,0,0,1,0,0,0,1

265,yelp,'Plus, it"s only 8 bucks.',0,0,0,2,0,0,0,1

266,yelp,'The service was not up to par, either.',0,0,0,2,0,1,0,0

267,yelp,'Thus far, have only visited twice and the food was absolutely delicious each time.',1,0,0,2,0,0,0,1

268,yelp,Just as good as when I had it more than a year ago!,1,0,0,1,1,0,0,1

269,yelp,'For a self proclaimed coffee cafe, I was wildly disappointed.',0,2,0,2,0,0,0,0

270,yelp,The Veggitarian platter is out of this world!,0,0,0,1,1,0,0,1

271,yelp,You cant go wrong with any of the food here.,0,1,0,1,0,0,0,1

272,yelp,You can"t beat that.,0,0,0,1,0,1,0,1

273,yelp,'Stopped by this place while in Madison for the Ironman, very friendly, kind staff.',1,0,0,3,0,0,0,1

274,yelp,The chefs were friendly and did a good job.,2,0,0,1,0,0,0,1

275,yelp,'I"ve had better, not only from dedicated boba tea spots, but even from Jenni Pho.',2,0,0,3,0,1,0,0

276,yelp,I liked the patio and the service was outstanding.,2,0,0,1,0,0,0,1

277,yelp,The goat taco didn"t skimp on the meat and wow what FLAVOR!,1,0,0,1,1,1,0,1

278,yelp,I think not again,0,0,0,0,0,1,0,0

279,yelp,I had the mac salad and it was pretty bland so I will not be getting that again.,1,1,0,1,0,1,0,0

280,yelp,I went to Bachi Burger on a friend"s recommendation and was not disappointed.,1,1,0,1,0,1,0,1

281,yelp,Service stinks here!,0,1,0,1,1,0,0,0

282,yelp,I waited and waited.,0,0,0,1,0,0,0,0

283,yelp,'This place is not quality sushi, it is not a quality restaurant.',0,0,0,2,0,2,0,0

284,yelp,I would definitely recommend the wings as well as the pizza.,2,0,0,1,0,0,0,1

285,yelp,Great Pizza and Salads!,1,0,0,1,1,0,0,1

286,yelp,Things that went wrong: - They burned the saganaki.,0,1,0,1,0,0,0,0

287,yelp,We waited an hour for what was a breakfast I could have done 100 times better at home.,1,0,0,1,0,0,0,0

288,yelp,This place is amazing!,1,0,0,1,1,0,0,1

289,yelp,'I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.',0,3,0,2,0,0,0,0

290,yelp,Waited 2 hours & never got either of our pizzas as many other around us who came in later did!,0,0,0,1,1,1,0,0

291,yelp,Just don"t know why they were so slow.,0,1,0,1,0,1,0,0

292,yelp,'The staff is great, the food is delish, and they have an incredible beer selection.',2,0,0,3,0,0,0,1

293,yelp,'I live in the neighborhood so I am disappointed I won"t be back here, because it is a convenient location.',1,1,0,2,0,1,0,0

294,yelp,I didn"t know pulled pork could be soooo delicious.,1,0,0,1,0,1,0,1

295,yelp,'You get incredibly fresh fish, prepared with care.',2,0,0,2,0,0,0,1

296,yelp,Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.,0,0,0,1,0,0,0,0

297,yelp,I love the fact that everything on their menu is worth it.,2,0,0,1,0,0,0,1

298,yelp,Never again will I be dining at this place!,0,0,0,1,1,1,0,0

299,yelp,The food was excellent and service was very good.,2,0,0,1,0,0,0,1

300,yelp,Good beer & drink selection and good food selection.,2,0,0,1,0,0,0,1

301,yelp,Please stay away from the shrimp stir fried noodles.,0,1,0,1,0,0,0,0

302,yelp,The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.,0,1,0,4,0,0,0,0

303,yelp,Food was really boring.,0,1,0,1,0,0,0,0

304,yelp,Good Service-check!,1,0,0,1,1,0,0,1

305,yelp,This greedy corporation will NEVER see another dime from me!,0,1,0,1,1,1,0,0

306,yelp,'Will never, ever go back.',0,0,0,2,0,1,0,0

307,yelp,'As much as I"d like to go back, I can"t get passed the atrocious service and will never return.',1,1,0,2,0,2,0,0

308,yelp,'In the summer, you can dine in a charming outdoor patio - so very delightful.',2,0,0,2,0,0,0,1

309,yelp,I did not expect this to be so good!,1,0,0,1,1,1,0,1

310,yelp,Fantastic food!,1,0,0,1,1,0,0,1

