@relation first_attribute_v4-weka.filters.supervised.instance.Resample-B0.0-S1-Z30.0-no-replacement-V

@attribute source string
@attribute text string
@attribute positive_words numeric
@attribute negative_words numeric
@attribute negative_adverbs numeric
@attribute punctuation_sum numeric
@attribute punctuation_exclamation numeric
@attribute negation numeric
@attribute class {0,1}

@data
imdb,'I couldn\"t take them seriously.',0,0,0,1,0,0,0
yelp,'The WORST EXPERIENCE EVER.',0,1,0,1,0,0,0
yelp,'Must have been an off night at this place.',0,0,0,1,0,0,0
yelp,'If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.',0,2,0,2,0,1,0
yelp,'For about 10 minutes, we we\"re waiting for her salad when we realized that it wasn\"t coming any time soon.',0,0,0,2,0,1,0
yelp,'Won\"t go back.',0,0,0,1,0,1,0
imdb,'What is even more stupid is that who had thought an idea that there should be a volcano in Los Angeles?',0,1,0,1,0,0,0
yelp,'Which are small and not worth the price.',1,0,0,1,0,1,0
yelp,'The shower area is outside so you can only rinse, not take a full shower, unless you don\"t mind being nude for everyone to see!',0,0,0,3,1,2,0
yelp,'The service was a bit lacking.',0,0,0,1,0,0,0
yelp,'Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.',0,0,0,6,0,0,0
yelp,'Hopefully this bodes for them going out of business and someone who can cook can come in.',0,0,0,1,0,0,0
yelp,'It was either too cold, not enough flavor or just bad.',1,0,0,2,0,1,0
imdb,'This was a poor remake of \"My Best Friends Wedding\".',1,1,0,1,0,0,0
yelp,'If the food isn\"t bad enough for you, then enjoy dealing with the world\"s worst/annoying drunk people.',2,2,0,2,0,1,0
imdb,'The story is beyond stupid.',0,0,0,1,0,0,0
imdb,'I\"m not sure what he was trying to do with this film.',0,0,0,1,0,1,0
yelp,'The descriptions said \"yum yum sauce\" and another said \"eel sauce\", yet another said \"spicy mayo\"...well NONE of the rolls had sauces on them.',0,0,0,5,0,0,0
yelp,'If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.',0,0,0,4,0,2,0
yelp,'Horrible - don\"t waste your time and money.',0,2,0,1,0,1,0
imdb,'Dee Snider just plain sucks.',0,0,0,1,0,0,0
yelp,'(It wasn\"t busy either) Also, the building was FREEZING cold.',0,1,0,2,0,1,0
imdb,'Not recommended.',0,0,0,1,0,1,0
yelp,'-Drinks took close to 30 minutes to come out at one point.',0,0,0,1,0,0,0
yelp,'Based on the sub-par service I received and no effort to show their gratitude for my business I won\"t be going back.',1,1,0,1,0,2,0
imdb,'At no point in the proceedings does it look remotely like America.',1,0,0,1,0,1,0
yelp,'Overall, I don\"t think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.',0,1,0,2,0,1,0
yelp,'I as well would\"ve given godfathers zero stars if possible.',1,0,0,1,0,0,0
yelp,'very tough and very short on flavor!',1,0,0,1,1,0,0
yelp,'I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.',0,0,0,2,0,1,0
imdb,'It probably would have been better if the director hadn\"t spent most of the movie showcasing his own art work, which really isn\"t that noteworthy.',1,0,0,2,0,2,0
yelp,'For a self proclaimed coffee cafe, I was wildly disappointed.',0,1,0,2,0,0,0
yelp,'I\"ve had better, not only from dedicated boba tea spots, but even from Jenni Pho.',1,0,0,3,0,1,0
yelp,'I think not again',0,0,0,0,0,1,0
imdb,'For those that haven\"t seen it, don\"t waste your time!',0,1,0,2,1,2,0
imdb,'And if that isn\"t enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.',1,1,0,1,0,1,0
yelp,'I waited and waited.',0,0,0,1,0,0,0
yelp,'This place is not quality sushi, it is not a quality restaurant.',0,0,0,2,0,2,0
imdb,'By the time the film ended, I not only disliked it, I despised it.',0,2,0,3,0,1,0
imdb,'About 30 minutes of footage is wasted to show mediocre elderly actors awkwardly babbling overwrought pseudo-Satanic gibberish corny enough to make a teen Goth blush, almost always in Olde English, and sometimes in Latin that may or may not be made up words.',1,3,0,3,0,1,0
yelp,'I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.',0,3,0,2,0,0,0
yelp,'Waited 2 hours & never got either of our pizzas as many other around us who came in later did!',0,0,0,1,1,1,0
yelp,'Just don\"t know why they were so slow.',0,0,0,1,0,1,0
yelp,'I live in the neighborhood so I am disappointed I won\"t be back here, because it is a convenient location.',1,1,0,2,0,1,0
imdb,'The worst one of the series.',0,1,0,1,0,0,0
yelp,'Never again will I be dining at this place!',0,0,0,1,1,1,0
yelp,'Please stay away from the shrimp stir fried noodles.',0,1,0,1,0,0,0
yelp,'The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.',0,0,0,4,0,0,0
yelp,'Food was really boring.',0,0,0,1,0,0,0
yelp,'This greedy corporation will NEVER see another dime from me!',0,1,0,1,1,1,0
imdb,'This is a chilly, unremarkable movie about an author living/working in a chilly abstruse culture.',0,1,0,2,0,0,0
imdb,'IMDB ratings only go as low 1 for awful, it\"s time to get some negative numbers in there for cases such as these.',0,1,0,2,0,0,0
imdb,'So mediocre in every aspect that it just becomes a dull, uninteresting mess, this is one of the most forgettable movies I\"ve seen.',0,1,0,3,0,0,0
yelp,'Never going back.',0,0,0,1,0,1,0
yelp,'The bus boy on the other hand was so rude.',0,0,0,1,0,0,0
yelp,'By this point, my friends and I had basically figured out this place was a joke and didn\"t mind making it publicly and loudly known.',0,1,0,2,0,1,0
imdb,'This scene is very strong and unpleasant.',1,0,0,1,0,0,0
imdb,'Whatever the producer was going for, he missed entirely.',0,1,0,2,0,0,0
yelp,'I go to far too many places and I\"ve never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.',0,0,0,3,0,1,0
yelp,'When my mom and I got home she immediately got sick and she only had a few bites of salad.',0,1,0,1,0,0,0
imdb,'I know he was a contract player with little control over his scripts, but the acting was as bad as the script.',0,1,1,2,0,0,0
yelp,'Everything was gross.',0,0,0,1,0,0,0
yelp,'First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!',0,0,0,3,3,1,0
imdb,'Unless you\"re just out to visually \"collect\" all extant films of Austen\"s work, you can skip this one.',0,0,0,2,0,0,0
yelp,'There is nothing authentic about this place.',1,0,0,1,0,1,0
imdb,'I never walked out of a movie faster.',0,0,0,1,0,1,0
imdb,'The jerky camera movements were also annoying.',0,1,0,1,0,0,0
yelp,'We sat another ten minutes and finally gave up and left.',0,0,0,1,0,0,0
imdb,'So I am here to warn you--DO NOT RENT THIS MOVIE, it is the dumbest thing you have never seen!',0,0,0,2,1,2,0
imdb,'Not even good for camp value!',1,0,0,1,1,1,0
yelp,'Sadly, Gordon Ramsey\"s Steak is a place we shall sharply avoid during our next trip to Vegas.',0,1,0,2,0,0,0
yelp,'The buffet is small and all the food they offered was BLAND.',0,0,0,1,0,0,0
yelp,'Definitely a turn off for me & i doubt I\"ll be back unless someone else is buying.',0,1,0,1,0,0,0
yelp,'I find wasting food to be despicable, but this just wasn\"t food.',0,1,0,2,0,1,0
yelp,'My wife had the Lobster Bisque soup which was lukewarm.',0,0,0,1,0,0,0
yelp,'I left with a stomach ache and felt sick the rest of the day.',0,2,0,1,0,0,0
yelp,'They dropped more than the ball.',0,0,0,1,0,0,0
yelp,'And the beans and rice were mediocre at best.',0,1,0,1,0,0,0
yelp,'I took back my money and got outta there.',0,0,0,1,0,0,0
imdb,'It\"s so bad it\"s actually worth seeing just for that reason.',1,1,0,1,0,0,0
imdb,'I literally vomited while watching this film.',0,1,0,1,0,0,0
imdb,'The film lacks any real scares or tension & some of the medical terminology used throughout is a bit iffy to say the least & I say that as an insulin dependant diabetic myself.',0,2,0,1,0,0,0
imdb,'Bela Lugosi was totally extraneous, intoning odd lines.',0,1,0,2,0,0,0
imdb,'Whatever prompted such a documentary is beyond me!',0,0,0,1,1,0,0
yelp,'I don\"t recommend unless your car breaks down in front of it and you are starving.',1,1,0,1,0,1,0
imdb,'In fact, this stinker smells like a direct-to-video release.',1,1,0,2,0,0,0
yelp,'This is a disgrace.',0,0,0,1,0,0,0
yelp,'I\"m probably one of the few people to ever go to Ians and not like it.',1,0,0,1,0,1,0
yelp,'This one is simply a disappointment.',0,0,0,1,0,0,0
imdb,'I\"m translating movies for a living and this is the first movie in my 5-year working experience that I found offensive to my intelligence.',0,1,0,1,0,0,0
yelp,'I don\"t have to be an accountant to know I\"m getting screwed!',0,0,0,1,1,1,0
yelp,'Left very frustrated.',0,0,0,1,0,0,0
yelp,'TOTAL WASTE OF TIME.',0,1,0,1,0,0,0
yelp,'For service, I give them no stars.',0,0,0,2,0,1,0
imdb,'To those who find this movie intelligent or even masterful, I can only say - it\"s your intelligence and your imagination you obviously used to try and make some sense of this pitiful attempt (it\"s in our human nature to try and make sense of things) .',2,1,0,2,0,0,0
yelp,'Gave up trying to eat any of the crust (teeth still sore).',0,0,0,1,0,0,0
yelp,'But now I was completely grossed out.',0,0,0,1,0,0,0
yelp,'On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.',1,0,0,4,0,0,0
imdb,'Yes, it\"s that bad.',0,0,0,2,0,0,0
yelp,'We\"ve tried to like this place but after 10+ times I think we\"re done with them.',1,0,0,1,0,0,0
yelp,'What a mistake that was!',0,1,0,1,1,0,0
imdb,'Everything stinks.',0,0,0,1,0,0,0
yelp,'Strike 2, who wants to be rushed.',0,1,0,2,0,0,0
imdb,'The only possible way this movie could be redeemed would be as MST3K fodder.',0,0,0,1,0,0,0
yelp,'Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.',0,0,0,1,0,0,0
yelp,'It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.',0,1,0,2,0,0,0
imdb,') very bad performance plays Angela Bennett, a computer expert who is at home all the time.',0,1,0,2,0,0,0
yelp,'Nothing special.',0,0,0,1,0,1,0
imdb,'This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.',0,1,0,1,0,0,0
yelp,'Sauce was tasteless.',0,0,0,1,0,0,0
yelp,'I don\"t think we\"ll be going back anytime soon.',0,0,0,1,0,1,0
yelp,'I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.',1,2,0,1,0,0,0
yelp,'I was so insulted.',0,0,0,1,0,0,0
yelp,'The last 3 times I had lunch here has been bad.',0,0,0,1,0,0,0
yelp,'The chicken wings contained the driest chicken meat I have ever eaten.',0,0,0,1,0,0,0
yelp,'Definitely not worth the $3 I paid.',1,0,0,1,0,1,0
imdb,'You could drive a semi truck into these holes!',0,0,0,1,1,0,0
yelp,'I don\"t think I\"ll be running back to Carly\"s anytime soon for food.',0,0,0,1,0,1,0
yelp,'This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.',0,0,0,5,0,0,0
yelp,'The one down note is the ventilation could use some upgrading.',0,0,0,1,0,0,0
yelp,'Don\"t waste your time here.',0,1,0,1,0,1,0
yelp,'Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.',0,0,0,2,0,0,0
yelp,'Third, the cheese on my friend\"s burger was cold.',0,0,0,2,0,0,0
yelp,'We asked for the bill to leave without eating and they didn\"t bring that either.',0,0,0,1,0,1,0
imdb,'I hate writing bad reviews about films - especially those in which I really like the star - but this film is so bad I don\"t believe for one second that anyone could have been proud of it.',2,3,0,1,0,1,0
yelp,'The selection of food was not the best.',0,0,0,1,0,1,0
yelp,'I dont think I will be back for a very long time.',0,0,0,1,0,0,0
yelp,'It was attached to a gas station, and that is rarely a good sign.',1,0,0,2,0,0,0
imdb,'Not easy to watch.',1,0,0,1,0,1,0
yelp,'And then tragedy struck.',0,1,0,1,0,0,0
yelp,'I\"d rather eat airline food, seriously.',0,0,0,2,0,0,0
imdb,'This one just fails to create any real suspense.',0,1,0,1,0,0,0
yelp,'Overall I wasn\"t very impressed with Noca.',1,0,0,1,0,1,0
yelp,'My gyro was basically lettuce only.',0,0,0,1,0,0,0
yelp,'Terrible service!',0,1,0,1,1,0,0
yelp,'Thoroughly disappointed!',0,0,0,1,1,0,0
yelp,'it was a drive to get there.',0,0,0,1,0,0,0
yelp,'Anyway, I do not think i will go back there.',0,0,0,2,0,1,0
yelp,'A greasy, unhealthy meal.',0,1,0,2,0,0,0
imdb,'The fish is badly made and some of its underwater shots are repeated a thousand times in the film.',0,1,0,1,0,0,0
yelp,'Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.',0,0,0,2,0,1,0
yelp,'And it was way to expensive.',0,0,0,1,0,0,0
yelp,'Terrible management.',0,1,0,1,0,0,0
yelp,'If there were zero stars I would give it zero stars.',0,0,0,1,0,0,0
yelp,'Worst martini ever!',0,1,0,1,1,0,0
yelp,'We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).',0,0,0,1,0,0,0
yelp,'I won\"t try going back there even if it\"s empty.',0,0,0,1,0,1,0
imdb,'The death row scenes were entirely unmoving.',0,1,0,1,0,0,0
yelp,'not even a \"hello, we will be right with you.\"',1,0,0,2,0,1,0
yelp,'The desserts were a bit strange.',0,0,0,1,0,0,0
imdb,'1 hour 54 minutes of sheer tedium, melodrama and horrible acting, a mess of a script, and a sinking feeling of GOOD LORD, WHAT WERE THEY THINKING?',1,3,0,5,0,0,0
yelp,'However, my recent experience at this particular location was not so good.',0,0,0,2,0,1,0
yelp,'I know this is not like the other restaurants at all, something is very off here!',1,0,0,2,1,1,0
imdb,'To call this movie a drama is ridiculous!',0,0,0,1,1,0,0
yelp,'I think this restaurant suffers from not trying hard enough.',0,2,0,1,0,1,0
imdb,'Unfortunately, inexperience of direction meant that scene after scene passed with little in the way of dramatic tension or conflict.',0,2,1,2,0,0,0
yelp,'After two I felt disgusting.',0,0,0,1,0,0,0
yelp,'I will never go back to this place and will never ever recommended this place to anyone!',1,0,0,1,1,2,0
yelp,'The servers went back and forth several times, not even so much as an \"Are you being helped?\"',0,0,0,2,0,1,0
yelp,'AN HOUR... seriously?',0,0,0,4,0,0,0
imdb,'Now imagine that every single one of those decisions was made wrong.',0,0,0,1,0,0,0
yelp,'Eew... This location needs a complete overhaul.',0,0,0,4,0,0,0
yelp,'We recently witnessed her poor quality of management towards other guests as well.',0,1,0,1,0,0,0
yelp,'Waited and waited and waited.',0,0,0,1,0,0,0
imdb,'I mean this in a terrible way.',0,1,0,1,0,0,0
yelp,'I swung in to give them a try but was deeply disappointed.',0,0,0,1,0,0,0
yelp,'Boy was that sucker dry!!.',0,1,0,3,2,0,0
imdb,'The plot simply rumbles on like a machine, desperately depending on the addition of new scenes.',1,2,0,2,0,0,0
yelp,'If you look for authentic Thai food, go else where.',1,0,0,2,0,0,0
yelp,'After I pulled up my car I waited for another 15 minutes before being acknowledged.',0,0,0,1,0,0,0
yelp,'I hate those things as much as cheap quality black olives.',0,2,0,1,0,0,0
imdb,'The dialogue sucked.',0,0,0,1,0,0,0
imdb,'The plot has more holes than a pair of fishnet stockings and the direction and editing is astonishingly ham fisted.',1,1,0,1,0,0,0
yelp,'It was a pale color instead of nice and char and has NO flavor.',1,1,0,1,0,1,0
imdb,'Rating: 0/10 (Grade: Z) Note: The Show Is So Bad That Even Mother Of The Cast Pull Her Daughter Out Of The Show.',0,1,0,1,0,0,0
yelp,'Not good for the money.',1,0,0,1,0,1,0
yelp,'We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.',1,0,0,4,0,0,0
yelp,'I just wanted to leave.',0,0,0,1,0,0,0
imdb,'How this piece of trash was ever released is beyond me: the acting, the story, the characters, the supposedly special effects, etc...it\"s ALL wrong.',0,1,0,8,0,0,0
yelp,'!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!',0,2,0,6,2,1,0
yelp,'I checked out this place a couple years ago and was not impressed.',0,0,0,1,0,1,0
yelp,'The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.',0,1,0,2,0,0,0
yelp,'Sorry, I will not be getting food from here anytime soon :(',0,0,0,1,0,1,0
yelp,'My friend did not like his Bloody Mary.',1,1,0,1,0,1,0
imdb,'Avoid at any and all costs.',0,0,0,1,0,0,0
imdb,'All the pretty pictures in the world cannot make up for a piece of work that is flawed at the core.',2,1,0,1,0,0,0
yelp,'I had the chicken Pho and it tasted very bland.',0,0,0,1,0,0,0
yelp,'Very disappointing!!!',0,0,0,3,3,0,0
yelp,'a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.',0,0,0,2,0,1,0
yelp,'Best of luck to the rude and non-customer service focused new management.',2,1,0,1,0,0,0
imdb,'And don\"t even get me started on the jerky camerawork.',0,1,0,1,0,1,0
yelp,'I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.',0,0,0,1,0,0,0
yelp,'Same evening, him and I are both drastically sick.',0,1,0,2,0,0,0
imdb,'But the acting--even that of such professionals as Drago and Debbie Rochon--was terrible, the directing worse (perhaps contributory to the former), the dialog chimp-like, and the camera work, barely tolerable.',0,1,0,5,0,0,0
yelp,'Tried to go here for lunch and it was a madhouse.',0,0,0,1,0,0,0
yelp,'After waiting an hour and being seated, I was not in the greatest of moods.',1,0,0,2,0,1,0
yelp,'I\"m not eating here!',0,0,0,1,1,1,0
yelp,'Maybe if they weren\"t cold they would have been somewhat edible.',0,1,0,1,0,1,0
yelp,'This place has a lot of promise but fails to deliver.',1,1,0,1,0,0,0
yelp,'Very bad Experience!',0,1,0,1,1,0,0
imdb,'I\"ll even say it again  this is torture.',0,0,0,1,0,0,0
imdb,'Even Billy Bob couldn\"t rise above the script, which was worse.',0,0,0,2,0,0,0
imdb,'The awful dialogue and hopeless overacting by everyone who gets shot top off a real waste of space and time.',1,3,0,1,0,0,0
imdb,'Star Trek V The final Frontier is the worst in the series.',0,1,0,1,0,0,0
yelp,'Not much flavor to them, and very poorly constructed.',0,1,0,2,0,1,0
imdb,'Both films are terrible, but to the credit of the 1986 version, it was watchable.',0,0,0,3,0,0,0
imdb,'Crash is a depressing little nothing, that provokes emotion, but teaches you nothing if you already know racism and prejudice are bad things.',0,5,1,3,0,1,0
yelp,'dont go here.',0,0,0,1,0,0,0
yelp,'As a sushi lover avoid this place by all means.',1,0,0,1,0,0,0
yelp,'The plantains were the worst I\"ve ever tasted.',0,1,0,1,0,0,0
yelp,'Service was slow and not attentive.',0,1,0,1,0,1,0
yelp,'Your staff spends more time talking to themselves than me.',0,0,0,1,0,0,0
imdb,'It is not good.',0,0,0,1,0,1,0
yelp,'I probably won\"t be back, to be honest.',0,0,0,2,0,1,0
imdb,'He is almost unbearable to watch on screen, he has little to no charisma, and terrible comedic timing.',0,2,1,3,0,1,0
yelp,'We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.',0,0,0,2,0,0,0
yelp,'I was mortified.',0,0,0,1,0,0,0
yelp,'Needless to say, we will never be back here again.',0,1,0,2,0,1,0
yelp,'Anyways, The food was definitely not filling at all, and for the price you pay you should expect more.',0,0,0,3,0,1,0
yelp,'The chips that came out were dripping with grease, and mostly not edible.',0,1,0,2,0,1,0
yelp,'I wasn\"t really impressed with Strip Steak.',1,0,0,1,0,1,0
yelp,'I work in the hospitality industry in Paradise Valley and have refrained from recommending Cibo any longer.',2,0,0,1,0,0,0
imdb,'Even if you love bad movies, do not watch this movie.',1,1,0,2,0,1,0
yelp,'I mean really, how do you get so famous for your fish and chips when it\"s so terrible!?!',1,0,0,4,2,0,0
yelp,'Not my thing.',0,0,0,1,0,1,0
yelp,'If you are reading this please don\"t go there.',0,0,0,1,0,1,0
yelp,'Tonight I had the Elk Filet special...and it sucked.',0,0,0,4,0,0,0
yelp,'We ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything.',0,2,0,1,0,0,0
