@relation first_attribute-weka.filters.unsupervised.instance.Resample-S1-Z30.0

@attribute source string
@attribute text string
@attribute class {0,1}
@attribute sentence_length numeric
@attribute positive_words numeric
@attribute negative_words numeric
@attribute punctuation_sum numeric
@attribute punctuation_dot numeric
@attribute punctuation_comma numeric
@attribute punctuation_exclamation numeric
@attribute punctuation_question numeric
@attribute negation numeric
@attribute start_with_I numeric
@attribute upper_case numeric

@data
yelp,'On three different occasions I asked for well done or medium well, and all three times I got the bloodiest piece of meat on my plate.',0,26,1,0,2,1,1,0,0,0,0,0
yelp,'I miss it and wish they had one in Philadelphia!',1,10,0,1,1,0,0,1,0,0,1,0
yelp,'This is a great restaurant at the Mandalay Bay.',1,9,1,0,1,1,0,0,0,0,0,0
amazon,'Its not user friendly.',0,4,0,0,1,1,0,0,0,1,0,0
amazon,'I love the ringtones because they are so upbeat!',1,9,1,0,1,0,0,1,0,0,1,0
yelp,'I really enjoyed Crema Café before they expanded; I even told friends they had the BEST breakfast.',1,17,2,0,1,1,0,0,0,0,1,1
yelp,'Appetite instantly gone.',0,3,1,0,1,1,0,0,0,0,0,0
yelp,'We won\"t be returning.',0,4,0,0,1,1,0,0,0,0,0,0
yelp,'Everything was perfect the night we were in.',1,8,1,0,1,1,0,0,0,0,0,0
amazon,'Would recommend this item.',1,4,1,0,1,1,0,0,0,0,0,0
imdb,'Whatever prompted such a documentary is beyond me!',0,8,0,0,1,0,0,1,0,0,0,0
yelp,'Worst food/service I\"ve had in a while.',0,7,0,1,1,1,0,0,0,0,0,0
imdb,'The lines, the cuts, the audio, everything is wrong.',0,9,0,0,4,1,3,0,0,0,0,0
amazon,'the charger worked for about a week and then completely stopped charging my phone.',0,14,1,0,1,1,0,0,0,0,0,0
yelp,'The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.',1,19,2,0,2,1,1,0,0,1,0,0
yelp,'A greasy, unhealthy meal.',0,4,0,1,2,1,1,0,0,0,0,0
yelp,'All I have to say is the food was amazing!!!',1,10,0,0,3,0,0,3,0,0,0,0
yelp,'When my order arrived, one of the gyros was missing.',0,10,0,0,2,1,1,0,0,0,0,0
imdb,'It handles some tough issues with dignity and grace, and, of course, has (shocking spoiler here!',1,16,2,1,4,0,3,1,0,0,0,0
imdb,'Not sure who was more lost - the flat characters or the audience, nearly half of whom walked out.',0,19,0,1,2,1,1,0,0,1,0,0
yelp,'This place is great!!!!!!!!!!!!!!',1,4,0,0,14,0,0,14,0,0,0,0
amazon,'Too bad you have to pay up to $$$ a month for the service!',0,14,0,1,1,0,0,1,0,0,0,0
imdb,'The lighting is awful.',0,4,0,0,1,1,0,0,0,0,0,0
amazon,'the phone was unusable and was not new.',0,8,0,1,1,1,0,0,0,1,0,0
yelp,'Service is quick and even \"to go\" orders are just like we like it!',1,14,2,0,1,0,0,1,0,0,0,0
amazon,'A Disappointment.',0,2,0,0,1,1,0,0,0,0,0,0
imdb,'The performances are not improved by improvisation, because the actors now have twice as much to worry about: not only whether they\"re delivering the line well, but whether the line itself is any good.',0,34,1,1,3,1,2,0,0,2,0,0
amazon,'Soyo technology sucks.',0,3,0,0,1,1,0,0,0,0,0,0
yelp,'Went for lunch - service was slow.',0,7,0,0,1,1,0,0,0,0,0,0
amazon,'Its the best headset I have used.',1,7,1,0,1,1,0,0,0,0,0,0
yelp,'The server was very negligent of our needs and made us feel very unwelcome... I would not suggest this place!',0,20,0,1,4,3,0,1,0,1,0,0
amazon,'However I needed some better instructions.',0,6,1,0,1,1,0,0,0,0,0,0
imdb,'His losing his marbles so early in the proceedings is totally implausible and unconvincing.',0,14,0,2,1,1,0,0,0,0,0,0
yelp,'And the beans and rice were mediocre at best.',0,9,0,1,1,1,0,0,0,0,0,0
imdb,'This is a masterful piece of film-making, with many themes simmering and occasionally boiling over in this warts and all study of the poet\"s bohemian, self-indulgent wartime years that span the aerial bombardments of London and the outward tranquillity of a Welsh coastal retreat - the borderlines between friendship, lust and love, dedication to art and experience versus practical concerns, jealousy, rivalry, cowardice and egotism versus heroism and self-sacrifice and more.',1,71,1,3,8,1,7,0,0,0,0,0
yelp,'They have horrible attitudes towards customers, and talk down to each one when customers don\"t enjoy their food.',0,18,1,1,2,1,1,0,0,0,0,0
imdb,'It\"s pretty surprising that this wonderful film was made in 1949, as Hollywood generally had its collective heads in the sand concerning black and white issues at that time.',1,29,2,1,2,1,1,0,0,0,0,0
imdb,'Frankly, after Cotton club and Unfaithful, it was kind of embarrassing to watch Lane and Gere in this film, because it is BAD.',0,23,0,1,4,1,3,0,0,0,0,1
yelp,'We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.',0,23,1,0,4,1,3,0,0,0,0,0
amazon,'I wish I could return the unit and get back my money.',0,12,0,0,1,1,0,0,0,0,1,0
amazon,'Battery is terrible.',0,3,0,0,1,1,0,0,0,0,0,0
amazon,'Then I had to continue pairing it periodically since it somehow kept dropping.',0,13,0,0,1,1,0,0,0,0,0,0
yelp,'Very very fun chef.',1,4,1,0,1,1,0,0,0,0,0,0
imdb,'The only suspense I was feeling was the frustration at just how retarded the girls were.',0,16,0,2,1,1,0,0,0,0,0,0
imdb,'I understand that it\"s supposed to be a cheap popcorn comedy, but that doesn\"t mean that it has to completely insult our intelligence, and have writing so incredibly hackneyed that it borders on offensive.',0,34,1,2,3,1,2,0,0,0,1,0
amazon,'Pretty piece of junk.',0,4,1,0,1,1,0,0,0,0,0,0
yelp,'Pretty awesome place.',1,3,2,0,1,1,0,0,0,0,0,0
imdb,'What this film lacks is a convincing script.',0,8,1,1,1,1,0,0,0,0,0,0
yelp,'I won\"t try going back there even if it\"s empty.',0,10,0,0,1,1,0,0,0,0,1,0
yelp,'And the drinks are WEAK, people!',0,6,0,0,2,0,1,1,0,0,0,1
yelp,'not even a \"hello, we will be right with you.\"',0,10,1,0,2,1,1,0,0,1,0,0
yelp,'Hell no will I go back',0,6,0,1,0,0,0,0,0,1,0,0
amazon,'Don\"t buy this product.',0,4,0,0,1,1,0,0,0,0,0,0
amazon,'Audio Quality is poor, very poor.',0,6,0,0,2,1,1,0,0,0,0,0
yelp,'Best service and food ever, Maria our server was so good and friendly she made our day.',1,17,3,0,2,1,1,0,0,0,0,0
amazon,'(It works!)',1,2,0,0,1,0,0,1,0,0,0,0
amazon,'Waste of money.',0,3,0,1,1,1,0,0,0,0,0,0
yelp,'In an interesting part of town, this place is amazing.',1,10,1,0,2,1,1,0,0,0,0,0
amazon,'Fantastic buy and will get again for whatever my next phone is',1,12,0,0,0,0,0,0,0,0,0,0
amazon,'i\"m glad i found this product on amazon it is hard to find, it wasn\"t high priced.',1,17,1,1,2,1,1,0,0,0,0,0
imdb,'Okay, I like to consider myself a fair critic, so I\"ll give credit where credit\"s due--the creature effects were actually pretty cool.',1,22,3,0,3,1,2,0,0,0,0,0
imdb,'A bit predictable.',0,3,0,0,1,1,0,0,0,0,0,0
yelp,'Great brunch spot.',1,3,1,0,1,1,0,0,0,0,0,0
amazon,'This PDA rocks.',1,3,0,0,1,1,0,0,0,0,0,1
yelp,'2 times - Very Bad Customer Service !',0,8,0,1,1,0,0,1,0,0,0,0
amazon,'i got this phone around the end of may and i\"m completely unhappy with it.',0,15,0,1,1,1,0,0,0,0,0,0
amazon,'If you plan to use this in a car forget about it.',0,12,0,0,1,1,0,0,0,0,0,0
yelp,'Very disappointing!!!',0,2,0,0,3,0,0,3,0,0,0,0
amazon,'Comfortable fit - you need your headset to be comfortable for at least an hour at a time, if not for an entire day.',1,24,2,0,2,1,1,0,0,1,0,0
imdb,'Do not waste your time.',0,5,0,1,1,1,0,0,0,1,0,0
amazon,'It clicks into place in a way that makes you wonder how long that mechanism would last.',0,17,1,0,1,1,0,0,0,0,0,0
imdb,'Whatever prompted such a documentary is beyond me!',0,8,0,0,1,0,0,1,0,0,0,0
imdb,'Up there with the best of Melville.',1,7,1,0,1,1,0,0,0,0,0,0
amazon,'I love the camera, it\"s really pretty good quality.',1,9,3,0,2,1,1,0,0,0,1,0
amazon,'I love this cable - it allows me to connect any mini-USB device to my PC.',1,16,1,0,1,1,0,0,0,0,1,1
imdb,'His use of the colours of the French flag in the three films was nothing short of incredible, every shot, every scene was like a work of art.',1,28,2,0,3,1,2,0,0,0,0,0
yelp,'Went in for happy hour, great list of wines.',1,9,2,0,2,1,1,0,0,0,0,0
imdb,'The scripting of the subtle comedy is unmatched by any movie in recent years.',1,14,1,0,1,1,0,0,0,0,0,0
yelp,'Just don\"t know why they were so slow.',0,8,0,0,1,1,0,0,0,0,0,0
imdb,'This review is long overdue, since I consider A Tale of Two Sisters to be the single greatest film ever made.',1,21,1,0,2,1,1,0,0,0,0,0
yelp,'definitely will come back here again.',1,6,0,0,1,1,0,0,0,0,0,0
amazon,'Poorly contstruct hinge.',0,3,0,1,1,1,0,0,0,0,0,0
amazon,'People couldnt hear me talk and I had to pull out the earphone and talk on the phone.',0,18,0,0,1,1,0,0,0,0,0,0
imdb,'The cast is good.',1,4,0,0,1,1,0,0,0,0,0,0
imdb,'Everything from acting to cinematography was solid.',1,7,0,0,1,1,0,0,0,0,0,0
yelp,'I love their fries and their beans.',1,7,1,0,1,1,0,0,0,0,1,0
imdb,'I can\"t believe there\"s even a sequel to this!',0,9,0,0,1,0,0,1,0,0,1,0
yelp,'Service was slow and not attentive.',0,6,0,1,1,1,0,0,0,1,0,0
imdb,'MANNA FROM HEAVEN is a terrific film that is both predictable and unpredictable at the same time.',1,17,2,1,1,1,0,0,0,0,0,3
yelp,'Pricing is a bit of a concern at Mellow Mushroom.',0,10,0,1,1,1,0,0,0,0,0,0
yelp,'The manager was the worst.',0,5,0,0,1,1,0,0,0,0,0,0
amazon,'Kind of flops around.',0,4,0,0,1,1,0,0,0,0,0,0
imdb,'This movie is possibly one of the most creative works of horror ever.',1,13,2,0,1,1,0,0,0,0,0,0
amazon,'They keep getting better and better (this is my third one and I\"ve had numerous Palms too).',1,17,2,0,1,1,0,0,0,0,0,0
amazon,'I found this product to be waaay too big.',0,9,0,0,1,1,0,0,0,0,1,0
amazon,'You can\"t beat the price on these.',1,7,0,0,1,1,0,0,0,0,0,0
amazon,'Reversible plug works great.',1,4,1,0,1,1,0,0,0,0,0,0
yelp,'I ordered the Voodoo pasta and it was the first time I\"d had really excellent pasta since going gluten free several years ago.',1,23,2,0,1,1,0,0,0,0,1,0
amazon,'You have to hold the phone at a particular angle for the other party to hear you clearly.',0,18,0,0,1,1,0,0,0,0,0,0
amazon,'As many people complained, I found this headset\"s microphone was very weak.',0,12,0,0,2,1,1,0,0,0,0,0
amazon,'First off the reception sucks, I have never had more than 2 bars, ever.',0,14,0,0,3,1,2,0,0,0,0,0
imdb,'It\"s like a bad two hour TV movie.',0,8,1,1,1,1,0,0,0,0,0,1
amazon,'Nice quality build, unlike some cheap s*** out there.',1,9,1,1,2,1,1,0,0,0,0,0
yelp,'The real disappointment was our waiter.',0,6,0,1,1,1,0,0,0,0,0,0
yelp,'I have eaten here multiple times, and each time the food was delicious.',1,13,0,0,2,1,1,0,0,0,1,0
amazon,'I am very impressed with this headset from Plantronics.',1,9,1,0,1,1,0,0,0,0,1,0
imdb,'The story itself is just predictable and lazy.',0,8,0,0,1,1,0,0,0,0,0,0
yelp,'Their rotating beers on tap is also a highlight of this place.',1,12,0,0,1,1,0,0,0,0,0,0
amazon,'stay away from this store, be careful.',0,7,0,0,2,1,1,0,0,0,0,0
imdb,'Avoid this film at all costs.',0,6,0,0,1,1,0,0,0,0,0,0
yelp,'This place lacked style!!',0,4,0,1,2,0,0,2,0,0,0,0
amazon,WORTHWHILE.,1,1,0,0,1,1,0,0,0,0,0,1
imdb,'I\"m translating movies for a living and this is the first movie in my 5-year working experience that I found offensive to my intelligence.',0,24,0,1,1,1,0,0,0,0,0,0
yelp,'I\"m not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place.',0,23,1,0,1,1,0,0,0,1,0,0
imdb,'As they say in Canada, This is the fun game, aye.',1,11,1,0,3,1,2,0,0,0,0,0
yelp,'We had so much to say about the place before we walked in that he expected it to be amazing, but was quickly disappointed.',0,24,0,0,2,1,1,0,0,0,0,0
amazon,'I\"ll be drivng along, and my headset starts ringing for no reason.',0,12,0,0,2,1,1,0,0,1,0,0
imdb,'An Italian reviewer called this \"a small, great film,\" and that\"s right.',1,12,1,0,3,1,2,0,0,0,0,0
imdb,'I was totally fascinated by the music, the dancing... everything.',1,10,0,0,5,4,1,0,0,0,1,0
yelp,'Went for lunch - service was slow.',0,7,0,0,1,1,0,0,0,0,0,0
yelp,'Service is quick and even \"to go\" orders are just like we like it!',1,14,2,0,1,0,0,1,0,0,0,0
amazon,'Very Displeased.',0,2,0,0,1,1,0,0,0,0,0,0
amazon,'Excellent sound quality.',1,3,1,0,1,1,0,0,0,0,0,0
yelp,'This place lacked style!!',0,4,0,1,2,0,0,2,0,0,0,0
amazon,'The \"1.2\" mega pixel camera, being a part of a phone, is reasonably good7.',1,14,1,0,4,2,2,0,0,0,0,0
imdb,'Exceptionally bad!',0,2,1,0,1,0,0,1,0,0,0,0
yelp,'I hate those things as much as cheap quality black olives.',0,11,0,2,1,1,0,0,0,0,1,0
amazon,'No real improvement.',0,3,0,0,1,1,0,0,0,1,0,0
imdb,'Every time he opened his mouth you expect to hear, \"you see kids...\" Pulling the plug was a mercy killing for this horrible show.',0,24,1,2,5,4,1,0,0,0,0,0
yelp,'Best Buffet in town, for the price you cannot beat it.',1,11,1,0,2,1,1,0,0,0,0,0
imdb,'The film is way too long.',0,6,0,0,1,1,0,0,0,0,0,0
yelp,'I probably won\"t be back, to be honest.',0,8,0,0,2,1,1,0,0,0,1,0
yelp,'I hope this place sticks around.',1,6,0,0,1,1,0,0,0,0,1,0
amazon,'The case is great and works fine with the 680.',1,10,3,0,1,1,0,0,0,0,0,0
imdb,'Actually, the graphics were good at the time.',1,8,1,0,2,1,1,0,0,0,0,0
amazon,'Does Not Work.',0,3,0,0,1,1,0,0,0,1,0,0
yelp,'Service is quick and friendly.',1,5,0,0,1,1,0,0,0,0,0,0
yelp,'I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.',0,23,1,0,1,1,0,0,0,1,1,0
imdb,'So for our enjoyment we get to see them run around, play games, and be dangerous.',1,16,1,0,3,1,2,0,0,0,0,0
amazon,'Appears to actually outperform the original battery from China that came with my V325i.',1,14,1,0,1,1,0,0,0,0,0,0
imdb,'Thanks good a movie like this was done and released.',1,10,2,0,1,1,0,0,0,0,0,0
imdb,'\"You\"ll love it!',1,3,1,0,1,0,0,1,0,0,0,0
yelp,'I just wanted to leave.',0,5,0,0,1,1,0,0,0,0,1,0
imdb,'This film tries to be a serious and sophisticated thriller/horror flick and it fails miserably.',0,15,1,1,1,1,0,0,0,0,0,0
yelp,'He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.',0,23,1,1,2,1,1,0,0,0,0,0
amazon,'Definitely a bargain.',1,3,0,0,1,1,0,0,0,0,0,0
amazon,'It\"s a great item.',1,4,1,0,1,1,0,0,0,0,0,0
amazon,'T-Mobile has the best customer service anywhere.',1,7,1,0,1,1,0,0,0,0,0,0
yelp,'I really enjoyed eating here.',1,5,1,0,1,1,0,0,0,0,1,0
amazon,'It was a great phone.',1,5,1,0,1,1,0,0,0,0,0,0
imdb,'Babie Bop is very cute.',1,5,0,0,1,1,0,0,0,0,0,0
imdb,'I really hope the team behind this movie makes more movies, and that they will continue to do so in their own, some kinda weird style.',1,26,0,1,3,1,2,0,0,0,1,0
imdb,'Fans of the genre will be in heaven.',1,8,1,0,1,1,0,0,0,0,0,0
amazon,'Horrible, horrible protector.',0,3,0,1,2,1,1,0,0,0,0,0
imdb,'It is a very well acted and done TV Movie.',1,10,1,0,1,1,0,0,0,0,0,1
yelp,'Just as good as when I had it more than a year ago!',1,13,1,0,1,0,0,1,0,0,0,0
yelp,'Needless to say, we will never be back here again.',0,10,0,1,2,1,1,0,0,0,0,0
amazon,'WARNING - DO NOT BUY!!.',0,5,0,1,3,1,0,2,0,1,0,4
amazon,'This particular model would not work with my Motorola Q smartphone.',0,11,1,0,1,1,0,0,0,1,0,1
imdb,'If you see it, you should probably just leave it on the shelf.',0,13,0,0,2,1,1,0,0,0,0,0
amazon,'Good , works fine.',1,4,2,0,2,1,1,0,0,0,0,0
imdb,'It\"s too bad that everyone else involved didn\"t share Crowe\"s level of dedication to quality, for if they did, we\"d have a far better film on our hands than this sub-par mess.',0,32,1,2,3,1,2,0,0,0,0,0
imdb,'I don\"t know what happened in Season Five, what a mess.',0,11,0,0,2,1,1,0,0,0,1,0
yelp,'I don\"t know what the big deal is about this place, but I won\"t be back \"ya\"all\".',0,17,0,0,2,1,1,0,0,0,1,0
imdb,'If you act in such a film, you should be glad that you\"re gonna drift away from earth as far as possible!',0,22,1,0,2,0,1,1,0,0,0,0
yelp,'It was equally awful.',0,4,0,0,1,1,0,0,0,0,0,0
amazon,'And I just love the colors!',1,6,1,0,1,0,0,1,0,0,0,0
amazon,'I Was Hoping for More.',0,5,0,0,1,1,0,0,0,0,1,0
yelp,'I can\"t wait to go back.',1,6,0,0,1,1,0,0,0,0,1,0
amazon,'All three broke within two months of use.',0,8,0,1,1,1,0,0,0,0,0,0
yelp,'Just as good as when I had it more than a year ago!',1,13,1,0,1,0,0,1,0,0,0,0
amazon,'Nice Sound.',1,2,1,0,1,1,0,0,0,0,0,0
imdb,'Julian Fellowes has triumphed again.',1,5,0,0,1,1,0,0,0,0,0,0
amazon,'It is light, has plenty of battery capacity, and is very confortable to wear for somewhat extended periods of time.',1,20,0,0,3,1,2,0,0,0,0,0
imdb,'That\"s how I\"d describe this painfully dreary time-waster of a film.',0,11,0,2,1,1,0,0,0,0,0,0
yelp,'It was a bit too sweet, not really spicy enough, and lacked flavor.',0,13,0,1,3,1,2,0,0,1,0,0
yelp,'did not like at all.',0,5,1,0,1,1,0,0,0,1,0,0
imdb,'The scenery that the two daughters paint and photograph are beautiful.',1,11,0,0,1,1,0,0,0,0,0,0
imdb,'And the accents are absolutely abysmal!',0,6,0,0,1,0,0,1,0,0,0,0
yelp,'So they performed.',1,3,0,0,1,1,0,0,0,0,0,0
yelp,'We will not be coming back.',0,6,0,0,1,1,0,0,0,1,0,0
amazon,'I have tried these cables with my computer and my iPod and it works just fine.',1,16,1,0,1,1,0,0,0,0,1,0
yelp,'Everyone is very attentive, providing excellent customer service.',1,8,1,0,2,1,1,0,0,0,0,0
amazon,'I love this phone , It is very handy and has a lot of features .',1,16,2,0,2,1,1,0,0,0,1,0
amazon,'Just really good.. So far, probably the best BT headset I have ever had.',1,14,1,0,4,3,1,0,0,0,0,1
yelp,'Food arrived quickly!',1,3,0,0,1,0,0,1,0,0,0,0
imdb,'This movie does an excellent job of revealing the complexity of the task and the incredible challenges facing South Africa.',1,20,2,0,1,1,0,0,0,0,0,0
amazon,'I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.',1,20,2,0,1,1,0,0,0,0,1,0
yelp,'She was quite disappointed although some blame needs to be placed at her door.',0,14,0,2,1,1,0,0,0,0,0,0
yelp,'I swung in to give them a try but was deeply disappointed.',0,12,0,0,1,1,0,0,0,0,1,0
amazon,'Great phone.',1,2,1,0,1,1,0,0,0,0,0,0
amazon,'I like the fact that it rests lightly against your ear, rather than inside.',1,14,1,0,2,1,1,0,0,0,1,0
imdb,'This is not movie-making.',0,4,0,0,1,1,0,0,0,1,0,0
yelp,'Thoroughly disappointed!',0,2,0,0,1,0,0,1,0,0,0,0
imdb,'Ursula Burton\"s portrayal of the nun is both touching and funny at the same time with out making fun of nuns or the church.',1,24,1,1,1,1,0,0,0,0,0,0
yelp,'To my disbelief, each dish qualified as the worst version of these foods I have ever tasted.',0,17,1,1,2,1,1,0,0,0,0,0
imdb,'Generally; it just lacked imagination.',0,5,0,1,1,1,0,0,0,0,0,0
yelp,'After two I felt disgusting.',0,5,0,0,1,1,0,0,0,0,0,0
yelp,'Cant say enough good things about this place.',1,8,2,0,1,1,0,0,0,0,0,0
imdb,') very bad performance plays Angela Bennett, a computer expert who is at home all the time.',0,17,0,1,2,1,1,0,0,0,0,0
amazon,'Motorola finally got the voice quality of a bluetooth headset right.',1,11,0,0,1,1,0,0,0,0,0,0
yelp,DELICIOUS!!,1,1,0,0,2,0,0,2,0,0,0,1
imdb,'I cannot believe that the actors agreed to do this \"film\".',0,11,0,0,1,1,0,0,0,0,1,0
amazon,'Doesn\"t work at all.. I bougth it for my L7c and its not working.',0,14,1,0,3,3,0,0,0,1,0,0
imdb,'An Italian reviewer called this \"a small, great film,\" and that\"s right.',1,12,1,0,3,1,2,0,0,0,0,0
amazon,'O my gosh the best phone I have ever had.',1,10,1,0,1,1,0,0,0,0,0,1
yelp,'Gave up trying to eat any of the crust (teeth still sore).',0,12,0,0,1,1,0,0,0,0,0,0
imdb,'Initially the local sites in the film, which was filmed here in Buffalo, intrigued me.',1,15,0,0,3,1,2,0,0,0,0,0
